country,total_installed_mw,solar_mw,solar_pct
Denmark,96574.16799999999,2519.303,2.608671710223794
Belgium,169862.0,2272.1000000000004,1.3376152406070811
Netherlands,372545.554,4280.577,1.149007672763691
Germany,1596920.0,8704.0,0.5450492197480149
Italy,740109.754,3153.774,0.42612247480256826
France,826121.5430000001,2048.574,0.24797489151060667
Sweden,304366.0,424.0,0.13930596715796115
Czechia,117902.16799999999,116.239,0.09858936605813728
Austria,189074.29200000002,183.254,0.09692169044324649
Bulgaria,83125.368,66.09,0.07950641493701417
Portugal,144538.18199999997,83.199,0.05756195273024813
Greece,155276.94600000003,18.699,0.01204235431060062
Spain,692321.786,5.0,0.0007222075198425144
Poland,336411.44,0.0,0.0
Romania,98715.192,0.0,0.0
